hoursperweek,age,education,maritalstatus,race,gender,nativecountry,income
0,1,1,1,1,0,1,49100
0,0,1,0,1,1,1,11500
0,0,0,0,1,1,1,2600
1,1,1,1,0,1,0,38997
0,0,1,0,1,1,0,41400
0,0,1,0,1,1,1,38524
1,1,1,0,1,0,1,26794
0,1,1,1,1,1,1,66433
0,1,1,1,1,1,0,33781
1,1,1,0,1,1,1,31050
0,0,1,0,1,0,1,3120
1,0,1,1,1,1,1,30876
0,0,1,0,1,1,1,3866
0,0,1,0,1,0,1,5202
0,1,1,1,1,1,1,60186
0,1,1,1,1,1,1,55486
0,1,1,1,1,1,1,99999
1,1,1,1,1,1,1,62210
0,1,1,1,1,1,1,32680
0,1,1,1,1,1,1,41110
1,0,1,0,1,0,1,20173
1,0,1,1,1,1,1,27550
0,0,1,0,1,1,1,26000
0,1,1,1,1,0,1,13650
0,0,1,0,1,0,1,7888
0,0,1,0,1,1,1,34050
0,1,1,0,1,1,1,17537
0,0,1,0,1,1,1,33350
0,0,1,0,1,0,1,28260
0,0,1,0,1,1,1,21035
1,1,1,1,1,1,1,19723
1,1,1,1,1,1,1,57867
1,1,1,1,1,1,1,58579
1,1,0,1,1,1,1,67000
0,0,1,0,1,1,1,18200
0,1,1,1,1,1,1,47448
0,1,1,0,1,0,1,17002
0,0,0,1,1,1,1,9600
0,0,1,1,1,1,1,77700
1,0,1,0,1,1,1,14560
0,1,0,0,1,1,1,11702
0,0,1,0,1,0,1,3080
0,0,1,0,1,1,1,17900
0,0,0,0,1,1,1,6778
0,0,1,0,1,1,1,11180
0,0,1,0,1,1,1,18720
0,0,1,0,1,1,1,8996
1,1,1,1,1,1,1,38300
0,0,1,0,1,0,1,1500
0,0,1,0,1,0,1,2700
0,0,1,0,1,1,1,4000
1,1,1,1,1,1,1,99999
0,0,1,0,1,0,1,6456
0,1,1,1,1,1,1,83000
1,1,1,0,1,1,1,32200
0,0,1,0,1,0,1,8780
0,1,1,0,1,0,1,24575
0,1,1,0,1,1,1,97084
0,1,1,0,1,0,1,35131
0,0,1,0,1,0,1,1921
0,1,1,1,1,0,1,92788
1,1,0,1,1,1,1,41604
0,0,1,0,1,1,1,8000
0,0,0,0,1,0,1,1100
1,1,1,1,1,1,1,45808
0,0,1,0,1,0,1,1800
0,0,1,0,1,1,1,11615
1,1,1,0,1,0,1,30618
0,0,1,1,1,1,1,25220
0,1,0,0,1,0,1,3500
0,1,1,0,1,1,1,10000
0,1,0,0,1,0,1,7478
0,1,1,0,1,0,1,15610
1,0,1,0,1,1,1,19228
1,1,1,0,1,0,1,28465
1,1,1,1,1,1,1,90431
0,0,1,0,1,1,1,5529
1,1,1,1,1,1,1,99999
0,1,1,0,1,0,1,32100
0,1,1,1,1,1,1,37000
0,1,1,1,1,0,1,51700
1,1,1,1,1,1,1,33000
0,1,1,0,1,0,1,21020
1,1,1,0,1,1,1,46020
1,1,1,1,1,1,1,99999
1,1,1,0,1,0,1,49850
0,0,1,0,1,1,1,4807
0,0,1,0,1,0,1,2021
0,0,1,0,1,1,1,42791
0,1,1,1,1,1,1,24000
0,0,1,0,1,0,1,2000
0,0,1,0,1,0,1,5010
0,0,1,0,1,0,1,398
1,0,1,0,1,1,0,48000
1,1,1,1,1,1,1,43399
1,1,1,1,1,1,1,47481
1,1,1,1,1,0,1,45150
1,0,1,0,1,1,1,17863
1,1,1,1,1,1,1,15029
0,1,0,0,1,1,1,8320
1,1,0,1,1,1,0,29621
1,0,1,0,1,1,1,20297
1,1,1,1,1,1,1,88000
0,0,0,0,1,1,1,4500
0,0,1,1,1,1,1,24024
0,0,1,1,1,0,1,81222
1,0,1,1,1,1,1,14964
0,1,1,0,1,0,1,6125
0,0,1,0,1,1,1,7760
0,1,1,1,1,1,1,38878
1,0,1,0,1,1,1,30000
0,1,1,0,1,0,1,10500
1,1,1,1,1,1,1,8780
0,1,1,1,1,0,1,39011
0,1,0,0,1,0,0,7052
0,1,1,1,1,1,1,19560
0,1,0,0,1,0,1,7342
1,1,1,0,1,0,1,16696
0,0,1,1,1,1,1,3800
1,0,1,1,1,1,1,65846
0,0,1,0,1,1,1,22012
1,1,1,1,1,0,1,86262
0,1,1,1,1,0,1,60590
1,1,1,1,1,1,1,35000
0,1,1,1,1,1,1,65361
0,0,1,0,1,0,1,2400
0,0,0,0,1,0,1,4055
0,0,1,0,1,0,1,13000
1,0,1,0,1,0,1,29022
0,0,1,0,1,0,1,40200
0,1,1,1,1,0,1,76071
0,1,1,1,1,1,1,18000
1,0,1,1,1,1,1,50554
1,1,1,1,1,1,1,40788
0,0,0,0,1,0,1,3740
0,1,1,0,1,0,0,35025
0,0,1,0,1,0,1,25003
0,0,1,0,1,1,1,31423
0,0,0,1,1,1,1,27922
0,1,1,1,1,1,1,35236
0,0,1,0,1,0,1,11105
1,1,1,0,1,1,1,2189
0,0,1,1,1,1,1,66000
1,0,1,0,1,1,1,4900
1,1,1,1,1,1,1,31398
0,0,1,0,1,0,1,7236
0,1,1,1,0,1,1,99999
0,0,1,1,1,1,1,40948
0,1,1,1,1,1,1,99999
0,0,1,0,1,1,1,15000
1,1,1,1,1,1,1,29176
1,1,1,1,1,1,1,47862
0,0,0,0,1,1,1,2225
1,1,1,0,1,1,1,28063
0,1,0,0,1,0,1,8000
0,0,1,1,1,1,1,39050
1,0,1,0,1,0,1,14661
0,1,0,0,1,0,1,4780
0,0,0,0,1,0,1,4981
0,0,0,0,1,1,1,6778
1,1,1,0,1,0,1,18524
1,1,1,0,1,1,1,4500
0,0,1,0,1,1,1,4000
0,0,1,0,1,0,0,4576
1,1,1,1,1,1,1,39000
0,1,1,0,1,0,1,21416
0,1,1,1,1,1,1,30925
1,0,1,0,1,0,0,11062
1,1,1,0,1,1,1,30000
0,1,0,1,1,1,1,31980
1,1,1,1,1,1,1,42107
0,0,1,0,1,0,1,2661
1,1,1,1,1,1,1,59324
0,1,1,1,1,1,1,52571
0,0,1,0,1,0,1,2641
0,1,1,1,1,1,1,65800
0,0,1,0,1,1,1,2200
0,0,1,0,1,1,1,1700
0,1,0,1,1,1,1,21323
0,1,1,1,1,0,1,61002
1,1,1,1,1,1,1,25000
1,0,1,1,1,1,1,19030
1,0,1,1,1,1,1,28000
1,1,1,1,1,1,1,39302
0,0,1,0,1,0,1,7283
1,0,1,0,1,1,1,11894
0,1,1,1,1,1,1,39200
1,1,1,1,1,1,1,90600
0,0,1,1,1,1,1,20000
1,0,1,1,1,1,1,46413
1,0,1,0,1,1,1,25000
0,0,1,0,1,0,1,9006
0,1,1,1,1,1,1,19560
0,1,1,0,1,0,0,9351
0,1,1,0,1,1,1,9600
1,1,1,1,1,1,1,85000
1,1,1,1,0,1,1,20530
0,0,1,1,1,1,1,42052
0,0,0,1,1,1,1,8300
0,0,0,0,1,1,1,2760
0,0,1,0,1,0,1,10785
1,0,1,1,1,1,1,21573
0,0,1,0,1,1,1,20000
0,0,1,0,1,0,1,1115
0,1,1,1,1,1,1,45201
0,1,0,1,1,1,1,30780
1,1,1,1,1,1,1,38554
1,1,1,0,1,0,1,23702
0,0,1,0,1,0,1,1164
0,0,1,0,1,0,1,900
0,0,1,0,1,0,1,23025
0,1,1,0,1,0,1,6500
0,1,1,0,1,0,1,23668
1,1,1,0,1,0,1,33031
1,1,1,1,1,1,1,67300
1,1,1,1,1,1,1,86812
0,1,1,1,1,0,1,27922
1,0,1,1,1,1,1,44176
0,1,1,0,1,0,1,30000
0,0,1,1,1,0,1,41800
0,1,1,1,1,1,1,25000
0,0,1,0,1,1,1,17008
0,0,1,0,1,0,1,5615
0,1,1,0,1,0,1,1237
